,FIPS,Display,X.x,county_name.x,cty_pop2000.x,cz.x,cz_name.x,cz_pop2000.x,statename.x,state_id.x,stateabbrv.x,le_agg_q1_F,le_raceadj_q1_F,le_agg_q2_F,le_raceadj_q2_F,le_agg_q3_F,le_raceadj_q3_F,le_agg_q4_F,le_raceadj_q4_F,le_agg_q1_M,le_raceadj_q1_M,le_agg_q2_M,le_raceadj_q2_M,le_agg_q3_M,le_raceadj_q3_M,le_agg_q4_M,le_raceadj_q4_M,sd_le_agg_q1_F,sd_le_raceadj_q1_F,sd_le_agg_q2_F,sd_le_raceadj_q2_F,sd_le_agg_q3_F,sd_le_raceadj_q3_F,sd_le_agg_q4_F,sd_le_raceadj_q4_F,sd_le_agg_q1_M,sd_le_raceadj_q1_M,sd_le_agg_q2_M,sd_le_raceadj_q2_M,sd_le_agg_q3_M,sd_le_raceadj_q3_M,sd_le_agg_q4_M,sd_le_raceadj_q4_M,count_q1_F,count_q2_F,count_q3_F,count_q4_F,count_q1_M,count_q2_M,count_q3_M,count_q4_M,X.y,county_name.y,cty_pop2000.y,cz.y,cz_name.y,cz_pop2000.y,statename.y,state_id.y,stateabbrv.y,csa,csa_name,cbsa,cbsa_name,intersects_msa,cur_smoke_q1,cur_smoke_q2,cur_smoke_q3,cur_smoke_q4,bmi_obese_q1,bmi_obese_q2,bmi_obese_q3,bmi_obese_q4,exercise_any_q1,exercise_any_q2,exercise_any_q3,exercise_any_q4,puninsured2010,reimb_penroll_adj10,mort_30day_hosp_z,adjmortmeas_amiall30day,adjmortmeas_chfall30day,adjmortmeas_pnall30day,med_prev_qual_z,primcarevis_10,diab_hemotest_10,diab_eyeexam_10,diab_lipids_10,mammogram_10,amb_disch_per1000_10,cs00_seg_inc,cs00_seg_inc_pov25,cs00_seg_inc_aff75,cs_race_theil_2000,gini99,poor_share,inc_share_1perc,frac_middleclass,scap_ski90pcm,rel_tot,cs_frac_black,cs_frac_hisp,unemp_rate,pop_d_2000_1980,lf_d_2000_1980,cs_labforce,cs_elf_ind_man,cs_born_foreign,mig_inflow,mig_outflow,pop_density,frac_traveltime_lt15,hhinc00,median_house_value,ccd_exp_tot,ccd_pup_tch_ratio,score_r,dropout_r,cs_educ_ba,tuition,gradrate_r,e_rank_b,cs_fam_wkidsinglemom,crime_total,subcty_exp_pc,taxrate,tax_st_diff_top20
1,1073,BIR,23,Jefferson,662047,10700,Birmingham,1038182,Alabama,1,AL,80.21241,81.79208,83.55753,84.46046,85.17361,85.77354,87.177,87.49687,73.85114,75.61622,78.42502,79.45655,81.56728,82.23368,84.50085,84.87309,0.2472474,0.2822169,0.2833343,0.2831811,0.3139696,0.3079838,0.3350395,0.3257091,0.2018517,0.2459504,0.2489679,0.267369,0.2899766,0.2870223,0.3384111,0.3302635,465817,430350,366904,388158,377098,359608,340329,367874,37,Jefferson,662047,10700,Birmingham,1038182,Alabama,1,AL,142,"Birmingham-Hoover-Talladega, AL",13820,"Birmingham-Hoover, AL",1,0.2739872,0.237516,0.1955446,0.1327751,0.3191257,0.2724868,0.2474619,0.1863581,0.56505805,0.71091443,0.76912183,0.85567009,16.14558,9391.84,0.5771653,0.1653657,0.1041126,0.1339837,0.2636314,79.657388,84.865264,67.072721,79.549649,69.398431,56.2,0.1226149,0.1115434,0.1300523,0.4181344,0.5981416,0.1477299,0.17284,0.43082,-0.06010005,60.1273,39.21519,1.553364,0.0394048,-0.013819,0.0507308,0.6152097,0.1001908,2.340015,0.026235298,0.031845171,595.0411,0.2213268,38584.14,120903.1,5.5013091,16.7366,-14.93304,-0.0026091,24.6,5698.84,-0.0295327,38.43345,0.303412,0.0085941,2093.597,0.0241656,0
2,18097,IND,384,Marion,860454,14200,Indianapolis,1507346,Indiana,18,IN,78.87899,79.91841,82.29504,82.91022,84.49912,85.01558,87.04902,87.42314,73.29119,74.35487,77.59919,78.26086,81.67155,82.21445,84.18701,84.64204,0.224606,0.2335375,0.2447873,0.2389157,0.2834312,0.2755475,0.3179162,0.3047338,0.1698313,0.1869904,0.2224505,0.2273906,0.2718396,0.2679668,0.2968846,0.2877068,541474,580860,511038,439899,497151,499528,476844,420597,740,Marion,860454,14200,Indianapolis,1507346,Indiana,18,IN,294,"Indianapolis-Carmel-Muncie, IN",26900,"Indianapolis-Carmel-Anderson, IN",1,0.3377625,0.2813371,0.2161172,0.1427623,0.3238434,0.256779,0.2662632,0.1918919,0.56677526,0.74203539,0.81294394,0.87937188,19.89726,9848.43,-0.323566,0.1478469,0.0989667,0.1130929,-0.6100522,78.518898,82.377825,62.618279,68.596237,62.991834,68.27,0.0995317,0.0859784,0.1103331,0.2764641,0.513245,0.114039,0.1485,0.48093,0.76482325,40.29292,24.02406,3.868888,0.0372899,0.124434,0.1912147,0.691263,0.1358263,4.577351,0.036476093,0.043933784,2171.5,0.2561658,39307.93,131967,7.5816437,18.275798,-9.471659,NA,25.4,8371.47,-0.0301951,36.97688,0.3088858,0.0117194,2808.51,0.0265513,0
3,21111,LOU,477,Jefferson,693604,13101,Louisville,1100767,Kentucky,21,KY,80.01647,80.86115,82.93595,83.48799,85.36174,85.78506,87.3686,87.66816,74.03472,74.98888,79.05051,79.64791,81.96867,82.46594,84.72044,85.0846,0.2590497,0.2633083,0.2649578,0.2569481,0.2924733,0.2823046,0.3210302,0.3092433,0.1902422,0.1980039,0.231718,0.2295053,0.2759953,0.2736882,0.3320208,0.32193,447766,493834,466727,449402,423781,433263,431706,430006,1043,Jefferson,693604,13101,Louisville,1100767,Kentucky,21,KY,350,"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN",31140,"Louisville/Jefferson County, KY-IN",1,0.3501742,0.2862149,0.200492,0.1319444,0.2879238,0.2552553,0.2131148,0.1648873,0.54226804,0.70157427,0.80645162,0.87166452,16.06903,10073.56,-0.3240758,0.1522887,0.0932018,0.1156174,0.3559976,82.069939,85.167809,68.615422,83.255143,68.769883,72.26,0.1224208,0.1119988,0.1334353,0.3143667,0.5196272,0.1235794,0.15428,0.47256,0.69875356,54.60493,18.74312,1.783438,0.0471513,0.0125547,0.0834353,0.649999,0.1347712,3.445049,0.024834055,0.028761368,1801.158,0.2653609,40944.97,137299,6.0601668,17.343152,-12.42998,NA,24.8,6646.8,0.0408649,38.12341,0.2927045,0.011237,1904.577,0.0215164,0.2
4,26081,GR,615,Kent,574335,12200,Grand Rapids,1286045,Michigan,26,MI,81.38574,81.8651,85.35135,85.51925,86.37524,86.64069,88.2075,88.42738,76.3549,76.8587,81.23629,81.46133,83.7599,84.05866,85.97076,86.22728,0.333511,0.3260795,0.3366619,0.3281694,0.3569189,0.3454717,0.379743,0.3663498,0.2894645,0.2906579,0.3118765,0.303658,0.3285165,0.3208634,0.3440461,0.3321293,277553,354182,416354,362675,256997,339720,407175,350033,1266,Kent,574335,12200,Grand Rapids,1286045,Michigan,26,MI,266,"Grand Rapids-Wyoming-Muskegon, MI",24340,"Grand Rapids-Wyoming, MI",1,0.254902,0.2488619,0.1594388,0.1199552,0.2639363,0.2390282,0.2419146,0.1786121,0.67460316,0.78514379,0.85340315,0.90940368,13.94316,8425.33,0.2645949,0.1584287,0.1061057,0.123517,0.6276767,79.408574,87.740325,73.158552,82.022472,67.864173,50.76,0.081094,0.0622906,0.0965667,0.2525475,0.4053029,0.0886339,0.15071,0.51188,0.78659416,52.85661,8.704676,6.996439,0.0460235,0.2920748,0.3889613,0.7046253,0.2372751,6.643161,0.026878042,0.031415463,670.815,0.3279683,39903,153428.3,7.4690542,19.813604,-1.386079,NA,25.8,8202.13,-0.0469096,41.17176,0.213411,0.0085908,2563.295,0.0275158,0
5,29095,KC,738,Jackson,654880,29502,Kansas City,1762873,Missouri,29,MO,80.01825,80.93668,83.29794,83.78799,85.22578,85.63606,87.37579,87.68221,74.54406,75.51054,79.27663,79.8147,81.67894,82.12372,84.17932,84.54334,0.2617745,0.2688175,0.283954,0.2765366,0.2958661,0.2823965,0.3418609,0.3271708,0.2165561,0.2263732,0.2433368,0.2417076,0.2822683,0.2773598,0.3394191,0.3321641,390579,452531,425183,346087,376712,378300,395729,321840,1525,Jackson,654880,29502,Kansas City,1762873,Missouri,29,MO,312,"Kansas City-Overland Park-Kansas City, MO-KS",28140,"Kansas City, MO-KS",1,0.3073364,0.2596401,0.2155388,0.1662468,0.2781547,0.2514891,0.2503193,0.2294872,0.61397934,0.73802394,0.79739505,0.86141306,17.99124,9355.56,0.4846922,0.165334,0.106492,0.1275347,0.1415625,77.737618,85.010338,70.141282,80.082702,64.853875,63.97,0.1108217,0.1011596,0.1177608,0.3472723,0.4495917,0.1192823,0.12083,0.5123,0.26476887,51.23015,23.10851,5.368923,0.0474197,0.0407046,0.0629856,0.6649454,0.1105938,4.324456,0.032463963,0.038017652,1082.725,0.2576937,38403.04,113305,7.3895452,16.412108,-8.846976,0.0177345,23.4,6375.65,-0.0030076,40.04508,0.3013353,0.0158846,2846.314,0.0346367,0
,0,STL,,,,,St. Louis,,,,,80.06150188,81.18260525,83.12184093,83.79702799,85.19087818,85.68975684,87.05342353,87.39564871,74.85236002,76.0506046,78.73172235,79.49574709,81.58631911,82.15910488,84.7970676,85.18524382,0.262205711,0.277052112,0.28477654,0.284926466,0.335679973,0.324340017,0.364290651,0.348917014,0.219956027,0.23966823,0.259267516,0.263383535,0.295108368,0.291720451,0.338496237,0.328147233,436499.282,547643.932,564202.116,747940.232,376248.694,425739.89,514202.779,712761.601,1577.579,#VALUE!,855296.634,24701,#VALUE!,2325609,#VALUE!,29,#VALUE!,476,#VALUE!,41180,#VALUE!,1,0.293450611,0.254117928,0.182101307,0.137576918,0.299961131,0.255777932,0.247629328,0.197562677,0.633765205,0.745235645,0.808888072,0.892122741,13.51093305,9823.12984,-0.841410076,0.14369799,0.08747998,0.105338224,0.068499126,75.72800998,84.62905677,68.59288389,78.36647404,68.32313168,63.49326,0.094602995,0.075249792,0.112334156,0.343842473,0.472790783,0.111397965,0.16612572,0.42653086,0.992038919,53.30256434,26.66146484,1.574662702,0.046194099,-0.022736135,0.009018949,0.655467758,0.125310634,4.541657379,0.039973502,0.049795758,2874.16268,0.237438472,46388.77962,138497.7669,7.595066182,16.50514945,-15.34543968,0.01681002,31.4717,11735.487,0.122568315,40.32635881,0.294318392,0.012164538,2016.37039,0.026098585,0
8,31055,OMA,774,Douglas,463585,28202,Omaha,803201,Nebraska,31,NE,80.58175,81.21781,84.24847,84.57623,86.4201,86.71004,87.54147,87.76691,75.12808,75.76405,80.16313,80.52493,81.86729,82.25501,85.30355,85.55663,0.371399,0.3637919,0.362863,0.3512018,0.3622854,0.3471383,0.3854807,0.3685314,0.2785318,0.2805549,0.3324609,0.326851,0.353925,0.3494725,0.3862706,0.3720629,223195,285096,311455,340759,227658,258947,297766,325590,1676,Douglas,463585,28202,Omaha,803201,Nebraska,31,NE,420,"Omaha-Council Bluffs-Fremont, NE-IA",36540,"Omaha-Council Bluffs, NE-IA",1,0.302134,0.2491115,0.1951077,0.1371041,0.269742,0.242495,0.2423698,0.1829551,0.62236559,0.76875681,0.83965194,0.88852149,13.79862,9012.98,-0.0011547,0.1423442,0.1030046,0.127198,0.5214388,83.009663,86.439071,74.94073,78.378378,67.05846,59.77,0.1364197,0.1150067,0.1560113,0.2747371,0.496081,0.0984671,0.2119,0.4677,0.81377753,54.48537,11.39403,6.671484,0.0353049,0.1676086,0.264375,0.7061371,0.095256,5.914341,0.037330802,0.036916639,1400.651,0.3443474,41646.13,134366.4,6.1057653,16.328309,-2.76219,0.0316961,30.6,5713.77,0.0573759,41.56104,0.2383065,0.0120302,3440.148,0.028161,1.72
9,37081,GBR,924,Guilford,421048,500,Greensboro,1055133,North Carolina,37,NC,81.62034,82.68523,84.84663,85.37064,86.08604,86.49924,88.06023,88.31245,76.11236,77.24847,79.82316,80.44985,83.10068,83.56306,85.58579,85.89434,0.3228262,0.3252375,0.3498975,0.3433779,0.3858405,0.372697,0.3662624,0.3540473,0.2876156,0.2994147,0.3084124,0.3078989,0.3478266,0.340573,0.3664234,0.3561198,301556,314600,297479,305265,269942,272926,275199,287658,1925,Guilford,421048,500,Greensboro,1055133,North Carolina,37,NC,268,"Greensboro--Winston-Salem--High Point, NC",24660,"Greensboro-High Point, NC",1,0.2793815,0.2178771,0.1903945,0.1333333,0.2665941,0.2231884,0.225,0.2016461,0.59407067,0.77643502,0.82439923,0.89305556,19.42887,8021.79,-0.2018416,0.1418386,0.0984938,0.1234226,0.7762938,80.677543,88.051323,73.696872,82.117081,71.698787,53.08,0.101247,0.0893262,0.1144173,0.237782,0.5715653,0.1058953,0.23247,0.45291,0.02267479,46.67496,29.04158,3.796479,0.0508039,0.3275822,0.3989313,0.6929438,0.1854134,6.487859,0.037753415,0.035383139,648.3419,0.303226,41338.75,155827.7,5.4937987,16.730572,-7.458097,0.0145697,30.3,3198.83,-0.0124334,37.15551,0.2628715,0.0180155,2363.387,0.0222535,1
10,37119,CHA,939,Mecklenburg,695454,900,Charlotte,1423942,North Carolina,37,NC,82.54854,83.42854,84.59418,85.05284,86.07059,86.35751,88.0639,88.30186,76.10365,77.0555,79.65516,80.19782,82.95148,83.29485,85.37232,85.6696,0.2683945,0.2786275,0.3302417,0.3248372,0.3405793,0.3349097,0.2926119,0.2834692,0.2327251,0.2438937,0.2799983,0.2789335,0.296447,0.2919748,0.2780103,0.2700573,470422,491131,453479,636795,424613,402529,418565,640431,1944,Mecklenburg,695454,900,Charlotte,1423942,North Carolina,37,NC,172,"Charlotte-Concord, NC-SC",16740,"Charlotte-Concord-Gastonia, NC-SC",1,0.2365989,0.2121212,0.1478463,0.1034483,0.2806324,0.2480836,0.2267303,0.1484033,0.63553298,0.765625,0.84079599,0.9012903,18.44666,8420.49,-0.0083503,0.154398,0.1017806,0.1190512,0.6368206,83.978287,87.1539,69.304287,84.019677,65.246479,47.1,0.1243011,0.1021067,0.1482555,0.2407914,0.5480851,0.0919716,0.17849,0.42209,-0.10589539,47.96938,27.66581,6.452044,0.0443129,0.7202711,0.8074028,0.7240673,0.1072805,9.827969,0.064549201,0.050352719,1321.465,0.2143099,47270.73,189019.4,6.4046052,17.355236,-10.7658,NA,37.1,4914.77,0.0546739,36.92535,0.2358796,0.0104579,3567.306,0.0238911,1
11,39049,COL,999,Franklin,1068978,15900,Columbus,1663807,Ohio,39,OH,79.59867,80.47569,83.23284,83.74378,85.00097,85.39849,87.57957,87.81706,74.3769,75.31776,79.06519,79.65252,82.00861,82.47789,85.05524,85.3824,0.2328715,0.2352838,0.2316958,0.2281285,0.2478013,0.2420486,0.2829742,0.2744414,0.1753135,0.1880005,0.2101724,0.2164233,0.2395545,0.2367315,0.280959,0.2737551,563315,741877,670609,610037,564914,629943,607496,593041,2062,Franklin,1068978,15900,Columbus,1663807,Ohio,39,OH,198,"Columbus-Marion-Zanesville, OH",18140,"Columbus, OH",1,0.3246968,0.2386537,0.1896226,0.1219839,0.3048919,0.261194,0.2346154,0.2107438,0.57709253,0.71304792,0.80642116,0.87349397,15.05601,9982.13,0.2544271,0.1631432,0.1044085,0.1212552,-0.1452102,79.764692,85.050305,64.333286,80.50163,60.10168,70.47,0.1318126,0.1208023,0.1443288,0.2439397,0.4972024,0.1164885,0.15376,0.51056,0.66565508,37.61771,17.74143,2.271235,0.0338872,0.2299374,0.345407,0.7065278,0.0928355,6.032584,0.035142912,0.042031735,1980.07,0.2671538,40623.14,154894.6,7.0857549,18.698814,-3.4857,NA,31.8,5985.77,0.1774268,38.06789,0.27158,0.0075083,2623.848,0.0333945,2.66
