population,FIPS,year
763623,21111,2016
641690,1073,2005
810698,12031,2005
844187,18097,2005
687032,21111,2005
584007,26081,2005
651181,29095,2005
985393,29189,2005
333730,29510,2005
474913,31055,2005
429603,37081,2005
780618,37119,2005
730138,37183,2005
1068080,39049,2005
786982,39061,2005
531864,39113,2005
666904,40109,2005
560431,40143,2005
396399,45045,2005
549850,47037,2005
392382,47093,2005
889955,47157,2005
180757,51760,2005
656700,1073,2006
837964,12031,2006
865504,18097,2006
701500,21111,2006
599524,26081,2006
664078,29095,2006
1000510,29189,2006
347181,29510,2006
492003,31055,2006
451905,37081,2006
827445,37119,2006
786522,37183,2006
1095662,39049,2006
822596,39061,2006
542237,39113,2006
691266,40109,2006
577795,40143,2006
417166,45045,2006
578698,47037,2006
411967,47093,2006
911438,47157,2006
192913,51760,2006
658779,1073,2007
849159,12031,2007
876804,18097,2007
709264,21111,2007
604330,26081,2007
666890,29095,2007
995118,29189,2007
350759,29510,2007
497416,31055,2007
465931,37081,2007
867067,37119,2007
832970,37183,2007
1118107,39049,2007
842369,39061,2007
538104,39113,2007
701807,40109,2007
585068,40143,2007
428243,45045,2007
619626,47037,2007
423874,47093,2007
910100,47157,2007
200123,51760,2007
659503,1073,2008
850962,12031,2008
880380,18097,2008
713877,21111,2008
605213,26081,2008
668417,29095,2008
991830,29189,2008
354361,29510,2008
502032,31055,2008
472216,37081,2008
890515,37119,2008
866410,37183,2008
1129067,39049,2008
851494,39061,2008
534626,39113,2008
706617,40109,2008
591982,40143,2008
438119,45045,2008
626144,47037,2008
430019,47093,2008
906825,47157,2008
202002,51760,2008
665027,1073,2009
857040,12031,2009
890879,18097,2009
721594,21111,2009
608315,26081,2009
705708,29095,2009
992408,29189,2009
356587,29510,2009
510199,31055,2009
480362,37081,2009
913639,37119,2009
897214,37183,2009
1150122,39049,2009
855062,39061,2009
532562,39113,2009
716704,40109,2009
601961,40143,2009
451428,45045,2009
635710,47037,2009
435725,47093,2009
920232,47157,2009
204451,51760,2009
658555,1073,2010
865876,12031,2010
904878,18097,2010
742172,21111,2010
603219,26081,2010
675259,29095,2010
998881,29189,2010
319156,29510,2010
518777,31055,2010
489681,37081,2010
923427,37119,2010
906969,37183,2010
1165897,39049,2010
802252,39061,2010
535059,39113,2010
721178,40109,2010
605418,40143,2010
452859,45045,2010
628133,47037,2010
433108,47093,2010
929030,47157,2010
204389,51760,2010
658931,1073,2011
870709,12031,2011
911296,18097,2011
746906,21111,2011
608453,26081,2011
676360,29095,2011
998692,29189,2011
318069,29510,2011
524861,31055,2011
495279,37081,2011
944373,37119,2011
929780,37183,2011
1178799,39049,2011
800362,39061,2011
537602,39113,2011
732371,40109,2011
610599,40143,2011
461299,45045,2011
635475,47037,2011
436929,47093,2011
935088,47157,2011
205533,51760,2011
660009,1073,2012
879602,12031,2012
918977,18097,2012
750828,21111,2012
614462,26081,2012
677377,29095,2012
1000438,29189,2012
318172,29510,2012
531265,31055,2012
500879,37081,2012
969031,37119,2012
952151,37183,2012
1195537,39049,2012
802038,39061,2012
534325,39113,2012
741781,40109,2012
613816,40143,2012
467605,45045,2012
648295,47037,2012
441311,47093,2012
940764,47157,2012
210309,51760,2012
659479,1073,2013
885855,12031,2013
928281,18097,2013
756832,21111,2013
621700,26081,2013
679996,29095,2013
1001444,29189,2013
318416,29510,2013
537256,31055,2013
506610,37081,2013
990977,37119,2013
974289,37183,2013
1212263,39049,2013
804520,39061,2013
535846,39113,2013
755245,40109,2013
622409,40143,2013
474266,45045,2013
658602,47037,2013
444622,47093,2013
939465,47157,2013
214114,51760,2013
660793,1073,2014
897698,12031,2014
934243,18097,2014
760026,21111,2014
629237,26081,2014
683191,29095,2014
1001876,29189,2014
317419,29510,2014
543244,31055,2014
512119,37081,2014
1012539,37119,2014
998691,37183,2014
1231393,39049,2014
806631,39061,2014
533116,39113,2014
766215,40109,2014
629598,40143,2014
482752,45045,2014
668347,47037,2014
448644,47093,2014
938803,47157,2014
217853,51760,2014
660367,1073,2015
913010,12031,2015
939020,18097,2015
763623,21111,2015
636369,26081,2015
687623,29095,2015
1003362,29189,2015
315685,29510,2015
550064,31055,2015
517600,37081,2015
1034070,37119,2015
1024198,37183,2015
1251722,39049,2015
807598,39061,2015
532258,39113,2015
776864,40109,2015
639242,40143,2015
491863,45045,2015
678889,47037,2015
451324,47093,2015
938069,47157,2015
220289,51760,2015
659521,1073,2016
926255,12031,2016
941229,18097,2016
765352,21111,2016
642173,26081,2016
691801,29095,2016
998581,29189,2016
311404,29510,2016
554995,31055,2016
521330,37081,2016
1054835,37119,2016
1046791,37183,2016
1264518,39049,2016
809099,39061,2016
531239,39113,2016
782970,40109,2016
642940,40143,2016
498766,45045,2016
684410,47037,2016
456132,47093,2016
934603,47157,2016
223170,51760,2016
